Year,Quarter,Loan_Count,Total_Sales,Avg_Loan,Std_Loan,Min_Loan,Max_Loan,Date,Time_Index,Year_Quarter,Sales_Lag_1,Count_Lag_1,Sales_Lag_2,Count_Lag_2,Sales_Lag_3,Count_Lag_3,Sales_Lag_4,Count_Lag_4,Sales_Lag_8,Count_Lag_8,Sales_RollMean_2,Sales_RollStd_2,Sales_RollMean_3,Sales_RollStd_3,Sales_RollMean_4,Sales_RollStd_4,Sales_ExpandMean,Sales_ExpandStd,Q1,Q2,Q3,Q4,QoQ_Growth,YoY_Growth,Sales_Momentum_2Q,Sales_Momentum_4Q,Avg_Loan_Change
2012,3,41138,72989825.02,1774.2677091739997,1083.5727277519147,0.0,16000.0,2012-09-01,14,2012-Q3,72829279.03,38336.0,50689655.12,28124.0,60265310.83,34377.0,54391293.03,34358.0,26439661.0,19195.0,61759467.074999996,15655078.19968083,61261414.99333333,11103373.557041943,59543884.5025,9694822.338715035,30720122.504285716,23297570.286430206,0,0,1,0,0.002204415478750832,0.3419395082176444,22300169.9,18598531.989999995,-0.06605793981736119
2012,4,47021,80555988.09,1713.1917247612769,1176.4695812972213,0.01,15000.0,2012-12-01,15,2012-Q4,72989825.02,41138.0,72829279.03,38336.0,50689655.12,28124.0,60265310.83,34377.0,31523323.01,21363.0,72909552.025,113523.15822183328,65502919.72333333,12828914.603738004,64193517.5,10797167.993037948,33538102.672,24962415.639241584,0,0,0,1,0.10366051799585496,0.3366891662972944,7726709.060000002,20290677.260000005,-0.034423206879618196
2013,1,46083,83375299.11,1809.2420005207994,1231.2401726948442,0.01,12900.0,2013-03-01,16,2013-Q1,80555988.09,47021.0,72989825.02,41138.0,72829279.03,38336.0,50689655.12,28124.0,30122082.0,21094.0,76772906.555,5350085.214360232,75458364.04666667,4415401.671320908,69266186.815,12898426.910010662,36476720.510625,26828125.386124108,1,0,0,0,0.034998155777695494,0.644818827680357,10385474.090000004,32685643.990000002,0.056065106065642745
2013,2,49518,96705108.85,1952.9284068419563,1256.3348982436992,0.01,13250.0,2013-06-01,17,2013-Q2,83375299.11,46083.0,80555988.09,47021.0,72989825.02,41138.0,72829279.03,38336.0,49075758.03,32707.0,81965643.6,1993553.9405159217,78973704.07333332,5370496.722889236,77437597.8125,5354124.249460606,39235460.42823529,28357450.927605018,0,1,0,0,0.15987720442733888,0.3278328460476041,16149120.75999999,23875829.819999993,0.07941801388636582
2013,3,43789,83399649.88,1904.579914590422,1229.9854216880137,0.0,16000.0,2013-09-01,18,2013-Q3,96705108.85,49518.0,83375299.11,46083.0,80555988.09,47021.0,72989825.02,41138.0,54391293.03,34358.0,90040203.97999999,9425598.859080466,86878798.68333334,8625798.935491439,83406555.2675,9890846.047678426,42428218.67388889,30664785.48052479,0,0,1,0,-0.13758796332713086,0.14262021942301684,24350.769999995828,10409824.86,-0.02475691995781748
2013,4,50060,97485552.68,1947.3742045545348,1233.520217468921,0.01,10000.0,2013-12-01,19,2013-Q4,83399649.88,43789.0,96705108.85,49518.0,83375299.11,46083.0,80555988.09,47021.0,60265310.83,34377.0,90052379.365,9408380.26448636,87826685.94666666,7688949.41964276,86009011.4825,7254588.7052691085,44584609.79,31248023.85791082,0,0,0,1,0.16889642606734667,0.21015898372552644,780443.8300000131,16929564.590000004,0.02246914904241004
2014,1,25659,60288135.3,2349.590213960014,1465.060909554542,0.01,10000.0,2014-03-01,20,2014-Q1,97485552.68,50060.0,83399649.88,43789.0,96705108.85,49518.0,83375299.11,46083.0,50689655.12,28124.0,90442601.28,9960237.38901457,92530103.80333333,7916827.949218704,90241402.63,7920651.6206027595,47229656.9345,32633923.40652885,1,0,0,0,-0.38156851305035866,-0.27690651855461756,-23111514.58,-23087163.810000002,0.20654274276858198
2014,2,26238,64716089.06,2466.502365271743,1552.4802045277029,0.01,20000.0,2014-06-01,21,2014-Q2,60288135.3,25659.0,97485552.68,50060.0,83399649.88,43789.0,96705108.85,49518.0,72829279.03,38336.0,78886843.99000001,26302546.07202435,80391112.61999999,18780320.478338156,84469611.6775,17368656.91681923,47851489.23761905,31935004.191878244,0,1,0,0,0.07344652041344535,-0.33078934681329397,-32769463.620000005,-31989019.78999999,0.04975852836681893
2014,3,26743,74421741.75,2782.8494091911903,1889.507813941142,250.0,24095.0,2014-09-01,22,2014-Q3,64716089.06,26238.0,60288135.3,25659.0,97485552.68,50060.0,83399649.88,43789.0,72989825.02,41138.0,62502112.18,3131036.1304765665,74163259.01333334,20318679.33776343,76472356.73,17220923.777419664,48618061.95681818,31372096.063472457,0,0,1,0,0.1499727939523916,-0.10764923045741681,14133606.450000003,-8977908.129999995,0.12825734464057326
2014,4,21615,59002909.08,2729.7205218598197,1894.143748241731,250.0,25500.0,2014-12-01,23,2014-Q4,74421741.75,26743.0,64716089.06,26238.0,60288135.3,25659.0,97485552.68,50060.0,80555988.09,47021.0,69568915.405,6862932.832940487,66475322.03666666,7229168.923224414,74227879.6975,16590635.612252051,49739961.07826087,31119460.007080138,0,0,0,1,-0.20718183030162685,-0.3947522739735675,-5713179.980000004,-38482643.60000001,-0.019091542343576573
2015,1,21516,52637847.79,2446.4513752556236,1712.105405171494,52.0,21000.0,2015-03-01,24,2015-Q1,59002909.08,21615.0,74421741.75,26743.0,64716089.06,26238.0,60288135.3,25659.0,83375299.11,46083.0,66712325.415,10902761.138937702,66046913.29666666,7795089.485569682,64607218.7975,6985687.348363357,50125917.245000005,30494108.13989083,1,0,0,0,-0.10787707571112859,-0.12689540772709884,-21783893.96,-7650287.509999998,-0.10377221563004502
2015,2,20163,44634131.35,2213.665196151366,1801.9001869693786,0.01,27000.0,2015-06-01,25,2015-Q2,52637847.79,21516.0,59002909.08,21615.0,74421741.75,26743.0,64716089.06,26238.0,96705108.85,49518.0,55820378.435,4500778.000827046,62020832.87333333,11201134.18506833,62694646.919999994,9244441.906674538,50226394.466800004,29856282.087380413,0,1,0,0,-0.15205250168910822,-0.31030858016437746,-14368777.729999997,-20081957.71,-0.09515258772716628
2015,3,20149,41333644.81,2051.399315598789,1520.0025380250097,63.4,16456.1,2015-09-01,26,2015-Q3,44634131.35,20163.0,52637847.79,21516.0,59002909.08,21615.0,74421741.75,26743.0,83399649.88,43789.0,48635989.57,5659482.169418305,52091629.40666666,7199945.086961019,57674157.49250001,12618159.618316365,50011307.423846155,29273614.4029943,0,0,1,0,-0.07394535168880345,-0.4446025605145152,-11304202.979999997,-33088096.939999998,-0.07330190709719309
2015,4,14480,31323725.97,2163.2407437845304,1694.9817247478725,33.38,20416.0,2015-12-01,27,2015-Q4,41333644.81,20149.0,44634131.35,20163.0,52637847.79,21516.0,59002909.08,21615.0,97485552.68,50060.0,42983888.08,2333796.413649094,46201874.65,5812883.5825501485,49402133.25750001,7968251.438199453,49689912.51222222,28753678.946695574,0,0,0,1,-0.24217363085237198,-0.4691155663608172,-13310405.380000003,-27679183.11,0.0545195795549418
2016,1,11764,11322403.08,962.4620095205712,1631.7621793322462,24.77,17545.0,2016-03-01,28,2016-Q1,31323725.97,14480.0,41333644.81,20149.0,44634131.35,20163.0,52637847.79,21516.0,60288135.3,25659.0,36328685.39,7078081.490891062,39097167.376666665,6931312.741994825,42482337.480000004,8824184.800813226,49033977.27857143,28428855.422077637,1,0,0,0,-0.638535878814547,-0.7848999616175226,-30011241.730000004,-41315444.71,-0.555083264640823
2016,2,2367,3402782.91,1437.5931178707226,1833.563256708521,52.21,24634.31,2016-06-01,29,2016-Q2,11322403.08,11764.0,31323725.97,14480.0,41333644.81,20149.0,44634131.35,20163.0,64716089.06,26238.0,21323064.525,14143071.048220785,27993257.95333333,15280303.34946439,32153476.302500002,14996269.996860681,47733578.16827586,28781515.575757686,0,1,0,0,-0.6994646025267632,-0.9237627616561648,-27920943.06,-41231348.44,0.49366219513103404
2016,3,4714,7408148.98,1571.5207848960545,1535.5196031636028,73.0,41800.0,2016-09-01,30,2016-Q3,3402782.91,2367.0,11322403.08,11764.0,31323725.97,14480.0,41333644.81,20149.0,74421741.75,26743.0,7362592.995,5600017.12662901,15349637.319999995,14389535.331546025,21845639.1925,17516601.059622616,46255884.993,29416292.683545154,0,0,1,0,1.1770853962587933,-0.8207719398070669,-3914254.0999999996,-33925495.83,0.09316103796023834
2016,4,3474,3987834.29,1147.9085463442718,1163.131515022391,99.0,12000.0,2016-12-01,31,2016-Q4,7408148.98,4714.0,3402782.91,2367.0,11322403.08,11764.0,31323725.97,14480.0,59002909.08,21615.0,5405465.945,2832221.5092320293,7377778.323333328,3959897.4345123004,13364265.235,12401853.112961281,45002732.2183871,29751579.469130367,0,0,0,1,-0.4616962616753423,-0.8726896572323705,585051.3799999999,-27335891.68,-0.2695556066602083
2017,1,3621,3107649.32,858.2295829881248,918.5859445930084,100.0,19300.0,2017-03-01,32,2017-Q1,3987834.29,3474.0,7408148.98,4714.0,3402782.91,2367.0,11322403.08,11764.0,52637847.79,21516.0,5697991.635,2418527.711091566,4932922.059999995,2163476.948901723,6530292.315,3650587.431979356,43721016.658125,30152487.10997744,1,0,0,0,-0.2207175388925201,-0.7255309409104698,-4300499.66,-8214753.76,-0.25235369514294803
2017,2,6915,6247712.17,903.5013984092552,1099.4562057259534,66.0,30000.0,2017-06-01,33,2017-Q2,3107649.32,3621.0,3987834.29,3474.0,7408148.98,4714.0,3402782.91,2367.0,44634131.35,20163.0,3547741.8049999997,622384.7609879158,4834544.196666662,2271841.231457483,4476603.875,1988297.4667130276,42490308.5569697,30508097.927426003,0,1,0,0,1.0104302405652388,0.8360595827725019,2259877.88,2844929.26,0.05275023876886897
2017,3,10538,12472433.29,1183.5674027329662,1279.2643496256283,51.5,13179.33,2017-09-01,34,2017-Q3,6247712.17,6915.0,3107649.32,3621.0,3987834.29,3474.0,7408148.98,4714.0,41333644.81,20149.0,4677680.744999999,2220359.7345876256,4447731.926666661,1619761.7271209485,5187836.1899999995,1984969.1813355244,41424349.839705884,30678539.50046628,0,0,1,0,0.9963200849567946,0.6836099440861945,9364783.969999999,5064284.309999999,0.3099784956800373
2017,4,10737,15759677.19,1467.7914864487286,1502.4863537835415,57.0,13771.0,2017-12-01,35,2017-Q4,12472433.29,10538.0,6247712.17,6915.0,3107649.32,3621.0,3987834.29,3474.0,31323725.97,14480.0,9360072.729999999,4401542.514947428,7275931.593333327,4766311.05658053,6453907.2675,4224694.469557061,40597152.224,30617645.071033314,0,0,0,1,0.26356075222591957,2.951938832944836,9511965.02,11771842.899999999,0.24014186522834513
